asset_id,asset_type,local_path,source_url,creator,license,download_date,modified,attribution_text,commercial_ok,review_status
procedural-pixel-art,art,src/render/pixel-actors.js; src/render/canvas-renderer.js,,Wasteland Echo project,Project original,2026-09-08,true,,true,approved
procedural-synth-audio,audio,src/platform/audio-engine.js,,Wasteland Echo project,Project original,2026-09-08,true,,true,approved
wasteland-pulse-score,music,src/platform/music-score.js,,Wasteland Echo project,Project original,2026-09-08,false,,true,approved
wasteland-pulse-composition,source,docs/wasteland-pulse-composition.json,,Wasteland Echo project,Project original,2026-09-08,false,,true,approved
wasteland-ground-texture-v1,art,art/generated/v1.0/runtime-snapshot/wasteland-ground-texture-v1.png,,OpenAI ImageGen,Generated project asset; verify applicable service terms before commercial release,2026-09-08,true,Generated for Wasteland Echo; no public attribution planned,review-required,provisional
wasteland-title-keyart-v1,art,art/generated/v1.0/runtime-snapshot/wasteland-title-keyart-v1.png,,OpenAI ImageGen,Generated project asset; verify applicable service terms before commercial release,2026-09-08,true,Generated for Wasteland Echo; no public attribution planned,review-required,provisional
ui-mutant-overhang-v1,art,art/generated/v1.0/runtime-snapshot/ui-mutant-overhang-v1.png,,OpenAI ImageGen,Generated project asset; verify applicable service terms before commercial release,2026-09-09,true,Generated for Wasteland Echo; no public attribution planned,review-required,provisional
ui-crawler-overhang-v1,art,art/generated/v1.0/runtime-snapshot/ui-crawler-overhang-v1.png,,OpenAI ImageGen,Generated project asset; verify applicable service terms before commercial release,2026-09-09,true,Generated for Wasteland Echo; no public attribution planned,review-required,provisional
deployment-journal-spread-v1,art,art/generated/v1.1/runtime/deployment-journal-spread-v1.png,,OpenAI ImageGen,Generated project asset; verify applicable service terms before commercial release,2026-09-10,false,Generated for Wasteland Echo; source and prompt archived under art/generated/v1.1,review-required,provisional
deployment-convoy-vignette-v1,art,art/generated/v1.1/runtime/deployment-convoy-vignette-v1.png,,OpenAI ImageGen + local chroma-key pipeline,Generated project asset; verify applicable service terms before commercial release,2026-09-10,true,Generated for Wasteland Echo; source checkerboard and chroma variants retained,review-required,provisional
deployment-note-surface-v1,art,art/generated/v1.1/runtime/deployment-note-surface-v1.png,,OpenAI ImageGen + local chroma-key pipeline,Generated project asset; verify applicable service terms before commercial release,2026-09-10,true,Reusable nine-slice note generated for Wasteland Echo,review-required,provisional
deployment-action-strap-v1,art,art/generated/v1.1/runtime/deployment-action-strap-v1.png,,OpenAI ImageGen + local chroma-key pipeline,Generated project asset; verify applicable service terms before commercial release,2026-09-10,true,Reusable nine-slice primary action generated for Wasteland Echo,review-required,provisional
deployment-back-tab-v1,art,art/generated/v1.1/runtime/deployment-back-tab-v1.png,,OpenAI ImageGen + local chroma-key pipeline,Generated project asset; verify applicable service terms before commercial release,2026-09-10,true,Reusable nine-slice navigation tab generated for Wasteland Echo,review-required,provisional
deployment-edge-mutant-v1,art,art/generated/v1.1/runtime/deployment-edge-mutant-v1.png,,OpenAI ImageGen + local chroma-key pipeline,Generated project asset; verify applicable service terms before commercial release,2026-09-10,true,Single connected edge-mutant silhouette generated for Wasteland Echo,review-required,provisional
fusion-pixel-font-source,font-source,docs/assets-sources/fusion-pixel-font-2026.09.01/fusion-pixel-12px-proportional-v2026.09.01.zip,https://github.com/TakWolf/fusion-pixel-font/releases/tag/2026.09.01,TakWolf and upstream font authors,SIL Open Font License 1.1,2026-09-08,false,"Fusion Pixel Font Copyright (c) 2022 TakWolf; SIL OFL 1.1",true,approved
fusion-pixel-font-subset,font,web/assets/fonts/wasteland-fusion-pixel-12-subset.woff2,https://github.com/TakWolf/fusion-pixel-font/releases/tag/2026.09.01,TakWolf and upstream font authors,SIL Open Font License 1.1,2026-09-08,true,"Project glyph subset of Fusion Pixel Font; copyright and SIL OFL 1.1 notices retained",true,approved
menu-main-camp-v2,art,art/generated/v1.2/runtime/menu-main-camp-v2.png,,OpenAI ImageGen,Generated project asset; verify applicable service terms before commercial release,2026-09-11,false,Generated for Wasteland Echo; prompt and source archived under art/generated/v1.2,review-required,provisional
deployment-command-bunker-v2,art,art/generated/v1.2/runtime/deployment-command-bunker-v2.png,,OpenAI ImageGen,Generated project asset; verify applicable service terms before commercial release,2026-09-11,false,Generated for Wasteland Echo; prompt and source archived under art/generated/v1.2,review-required,provisional
inventory-armory-v2,art,art/generated/v1.2/runtime/inventory-armory-v2.png,,OpenAI ImageGen,Generated project asset; verify applicable service terms before commercial release,2026-09-11,false,Generated for Wasteland Echo; prompt and source archived under art/generated/v1.2,review-required,provisional
shop-quartermaster-v2,art,art/generated/v1.2/runtime/shop-quartermaster-v2.png,,OpenAI ImageGen,Generated project asset; verify applicable service terms before commercial release,2026-09-11,false,Generated for Wasteland Echo; prompt and source archived under art/generated/v1.2,review-required,provisional
settings-radio-room-v2,art,art/generated/v1.2/runtime/settings-radio-room-v2.png,,OpenAI ImageGen,Generated project asset; verify applicable service terms before commercial release,2026-09-11,false,Generated for Wasteland Echo; prompt and source archived under art/generated/v1.2,review-required,provisional
credits-archive-v2,art,art/generated/v1.2/runtime/credits-archive-v2.png,,OpenAI ImageGen,Generated project asset; verify applicable service terms before commercial release,2026-09-11,false,Generated for Wasteland Echo; prompt and source archived under art/generated/v1.2,review-required,provisional
ui-field-plate-v2,art,art/generated/v1.2/runtime/ui-field-plate-v2.png,,OpenAI ImageGen + local chroma-key pipeline,Generated project asset; verify applicable service terms before commercial release,2026-09-11,true,Checkerboard failures and chroma-key source retained under art/generated/v1.2,review-required,provisional
wasteland-ground-texture-v1-webp,runtime-art,web/assets/wasteland-ground-texture-v1.webp,,Local Pillow WebP pipeline,Derived from registered project asset,2026-09-18,true,Optimized runtime copy; PNG source retained,review-required,provisional
wasteland-title-keyart-v1-webp,runtime-art,web/assets/wasteland-title-keyart-v1.webp,,Local Pillow WebP pipeline,Derived from registered project asset,2026-09-18,true,Optimized runtime copy; PNG source retained,review-required,provisional
menu-backdrops-v2-webp,runtime-art,web/assets/ui/backdrops/*.webp,,Local Pillow WebP pipeline,Derived from registered project assets,2026-09-18,true,Six optimized runtime copies; PNG sources retained,review-required,provisional
ui-field-plate-v2-webp,runtime-art,web/assets/ui/shared/ui-field-plate-v2.webp,,Local Pillow lossless WebP pipeline,Derived from registered project asset,2026-09-18,true,Alpha-preserving runtime copy,review-required,provisional
deployment-convoy-v1-webp,runtime-art,web/assets/ui/deployment/deployment-convoy-vignette-v1.webp,,Local Pillow lossless WebP pipeline,Derived from registered project asset,2026-09-18,true,Alpha-preserving runtime copy,review-required,provisional
